#,"Example, for testing",,,,,,,,
,,,,,,,,,
#,"Which hardware version, MagOD1 cannot set LED intensity!",,,,,,,,
@,Version,“MAGOD1”,,,,,,,
@,Parameters,,,,,,,,
,B_x,B_y,B_z,T_switch,LED_Color,LED_Intensity,Grad_x,Grad_y,Grad_z
,,,,,,,,,
#,Programs are listed below,,,,,,,,
,,,,,,,,,
@,Name,“Cmag Green”,,,,,,,
#,"If N_cycles = 0, run indefinitely",,,,,,,,
@,N_cycles,0,,,,,,,
@,Recipe:,,,,,,,,
#,B_x[mT],B_y[mT],B_z[mT],T_switch[s],LED Color,LED Intensity [0-255],Grad_x,Grad_y,Grad_z
,0.5,0,0,10,“GREEN”,60,1,1,1
,0,1,0,20,“GREEN”,60,1,1,1
,1,0,0,20,“GREEN”,60,1,1,1
,0,0.5,0,30,“GREEN”,60,1,1,1
,0.5,0,0,29.5,“GREEN”,60,1,1,1
#,Red LED,,,,,,,,
,0.5,0,0,10,“RED”,30,1,1,1
,0,1,0,20,“RED”,30,1,1,1
,1,0,0,20,“RED”,30,1,1,1
,0,0.5,0,30,“RED”,30,1,1,1
,0.5,0,0,29.5,“RED”,30,1,1,1
#,Blue LED,,,,,,,,
,0.5,0,0,10,“BLUE”,110,1,,
,0,1,0,20,“BLUE”,110,1,,
,1,0,0,20,“BLUE”,110,1,,
,0,0.5,0,30,“BLUE”,110,1,,
,0.5,0,0,29.5,“BLUE”,110,1,,
@,EndRecipe,,,,,,,,
